lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,23.3,23.265125,-225.96553679792328
15.0,28.0,0.0,23.099998,23.192986,-246.24098598985228
15.0,28.0,0.0,22.800003,23.101078,-235.69234022039097
15.0,28.0,0.0,22.399998,23.05264,-296.7403246517239
15.0,28.0,0.0,22.099998,22.902306,-305.2666559296269
15.0,28.0,0.0,21.8,22.813362,-529.2739410987829
15.0,28.0,0.0,21.5,22.403902,-601.5869641808392
15.0,28.0,0.0,21.300003,22.161348,-587.8365956773342
15.0,28.0,0.0,21.199997,22.062202,-305.15471980892977
15.0,28.0,0.0,21.0,22.394907,-751.8658071336357
15.0,28.0,0.0,20.900002,21.708336,54.593913651821595
15.0,28.0,0.0,20.8,22.75766,-1036.3220848642507
15.0,28.0,0.0,20.599998,21.22646,280.29940051628955
15.0,28.0,0.0,20.5,22.924711,-1053.116383885836
15.0,28.0,0.0,20.400002,21.132236,261.25630855755526
15.0,28.0,0.0,20.300003,22.8003,82.57542360293064
15.0,28.0,0.0,20.300003,22.762466,83.83034789237104
15.0,28.0,0.0,20.300003,22.78397,169.54107829387294
15.0,28.0,1.9543443,20.7,22.938984,134.08787066311805
15.0,28.0,4.931707,21.0,22.93708,203.14120781811056
22.0,24.0,6.891127,21.300003,23.073084,166.36086766884063
22.0,24.0,9.896961,21.599998,23.073145,198.99157750607787
22.0,24.0,14.811971,22.0,23.15919,175.45875770834164
