C_env,C_air,R_rc,R_oe,R_er,RMSE
1553932.4181750205,548541.4105521223,0.0045120453360988,0.038857071640178,0.000583800235403,0.36214303872524545
3211709.235700902,357148.44318269694,0.0063053102789425,0.0304737421246002,0.0049769167725392,0.5531594802131683
6195891.9488755,336610.816924526,0.0079035917189503,0.0431890324166736,0.0041396831547653,0.6309255803809886
4689123.557635096,678759.6187821005,0.0106642669119588,0.0248538399542558,0.0039676331793331,0.7106416293344893
5245933.071056338,376144.9975086151,0.0061326602402586,0.0190717719399975,0.0038679891353294,0.6441219105320389
2712495.9835877344,638458.2974691767,0.0147275906777919,0.0488360987629794,0.0032936040379607,0.3206931795817311
2775324.9581683422,228047.56927213425,0.0072889870586813,0.0374314695699474,0.0015403355945053,0.20249084737257067
5099529.951983886,567291.3746136576,0.0074883552603187,0.0273401121389166,0.0057131608233947,0.46393239772827916
2652497.8014634,617498.488143787,0.0121415901039667,0.0479234970930266,0.0009898243131949,0.1930918620489145
3376285.3736035945,138662.97861270385,0.0070759113390386,0.0402877229048022,0.0066183680645422,1.2475639841087307
1049081.3398583657,713455.2289565562,0.0043639764852582,0.0312762299936306,0.0047767973032446,0.32517013428370545
1944652.092772256,441408.5204744765,0.0094303146124784,0.0419689670142748,0.0028969296447795,0.3480260581566617
3588331.0156627065,349180.63762805564,0.0059833853680675,0.0543618042492768,0.0035486210209996,0.6642417733392315
2334383.4239606974,454128.31747475173,0.0075398890197651,0.030831767520123,0.0030015880362863,0.3505181628365934
1636314.0121111437,69334.31228531018,0.0132453658876627,0.0225047185061687,0.0040714768739026,1.315897350487383
3044935.791544763,406286.78586307826,0.0048675552250484,0.0268984109903581,0.0003289261820945,0.21338768161132393
2064225.796175578,363655.84670067247,0.0141719076416011,0.0098596998969462,0.0022256110545966,2.797671346968384
1977124.243007513,459658.28027832654,0.0101747331484887,0.0346710861972886,0.0033319261638405,0.4342245800578886
2569696.510814105,539029.2997632148,0.0022833926476997,0.0220200269064727,0.0034535209952473,0.5419918404861267
1808715.1103213169,284296.6540820807,0.0089139849243813,0.0380511064056737,0.0030748121523735,0.5034805830825176
5752861.364030754,148148.31075345058,0.010406364742449,0.0144007895508427,0.0043352919369055,1.5282401013954272
