lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true
22.0,24.0,649.78827,25.700005,23.126581,15.499982833862305,18.07715606689453
22.0,24.0,619.45703,25.800003,23.118267,15.49999713897705,20.53997802734375
22.0,24.0,494.53467,25.900002,23.21098,15.499995231628418,20.32088279724121
22.0,24.0,434.22626,25.800003,23.194942,15.499435424804688,22.388885498046875
22.0,24.0,276.8261,25.700005,23.72136,15.499996185302734,18.931114196777344
22.0,24.0,212.85394,25.199997,23.092585,15.499999046325684,19.56746482849121
22.0,24.0,128.93266,24.700005,22.990381,15.49997615814209,19.294933319091797
22.0,24.0,90.987526,23.699997,22.884705,15.499999046325684,24.481637954711914
22.0,24.0,56.595005,22.799995,23.851645,15.499970436096191,20.539569854736328
22.0,24.0,40.59,22.799995,22.606045,15.49979305267334,19.905593872070312
22.0,24.0,25.245,20.400002,22.411734,15.498653411865234,24.517913818359375
22.0,24.0,11.88,19.2,23.549782,15.499795913696289,19.367557525634766
22.0,24.0,15.524798,18.099998,22.22199,15.499900817871094,20.338319778442383
