tstep,reward,done,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,action_0,action_1,Mode,SAT_sp,ZAT_sp_used,m_fan,DamperSignal,ReheatSignal,ReheatPct,Q_reheat_W,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,Hour,TempExceed_degC,Reward
1310,-0.04389477801896173,0,3.5938305854797363,0.5272157192230225,0.5,0.7875000238418579,0.10422810912132263,0.0,0.30434781312942505,15.432615280151367,22.77959442138672,heating,15.432615280151367,22.77959442138672,0.080939,0.0,0.09792709671191228,9.79270967119123,29.378129013573684,0.04389477801896173,0.006974188570557798,0.0,0.028620654390872604,0.008299935057531328,7.0,0.0,-0.04389477801896173
1311,-0.022078917752508313,0,3.5870652198791504,0.5775666236877441,0.5,0.7875000238418579,0.055418163537979126,0.0,0.30434781312942505,15.467414855957031,22.473012924194336,cooling,15.467414855957031,22.473012924194336,0.13681972184933483,23.57481819011209,0.0,0.0,0.0,0.022078917752508313,0.010961191473022106,0.0,0.0,0.011117726279486206,8.0,0.0,-0.022078917752508313
1312,-0.02002137797795201,0,3.58750057220459,0.6123225092887878,0.5,0.800000011920929,0.15444527566432953,1.0,0.3478260934352875,13.788561820983887,23.159563064575195,heating,13.788561820983887,23.159563064575195,0.09869483743074546,7.490787974636621,0.0,0.0,0.0,0.02002137797795201,0.009271636069454338,0.0,0.0018460213704809877,0.008903720538016685,8.0,0.0,-0.02002137797795201
1313,-0.019981019718685596,0,3.5847437381744385,0.6419440507888794,0.5,0.8125,0.10882529616355896,1.0,0.3478260934352875,12.080185890197754,22.90964698791504,cooling,12.080185890197754,22.90964698791504,0.09173047259408561,4.55267927810732,0.0,0.0,0.0,0.019981019718685596,0.010613085635507556,0.0,0.0,0.00936793408317804,9.0,0.0,-0.019981019718685596
1314,-0.020644136042967613,0,3.5943799018859863,0.6007553935050964,0.5,0.824999988079071,0.28219786286354065,1.0,0.3913043439388275,14.762248039245605,22.66033172607422,cooling,14.762248039245605,22.66033172607422,0.12848457249276288,20.058406372841468,0.0,0.0,0.0,0.020644136042967613,0.00979478485575144,0.0,0.0,0.010849351187216172,9.0,0.0,-0.020644136042967613
1315,-0.02098029590876978,0,3.6020262241363525,0.614182710647583,0.5,0.824999988079071,0.2546384036540985,1.0,0.3913043439388275,13.437777519226074,22.547222137451172,cooling,13.437777519226074,22.547222137451172,0.12005496242652827,16.50214370929134,0.0,0.0,0.0,0.02098029590876978,0.010072633605385255,0.0,0.0,0.010907662303384526,10.0,0.0,-0.02098029590876978
1316,-0.02413582213764465,0,3.6217591762542725,0.588304340839386,0.5,0.8374999761581421,0.4240744709968567,1.0,0.43478259444236755,10.682312965393066,23.022077560424805,heating,10.682312965393066,23.022077560424805,0.08111603323650485,0.07468633593283869,0.0,0.0,0.0,0.02413582213764465,0.008640523991789963,0.0,0.0071934553642054085,0.008301842781649277,10.0,0.0,-0.02413582213764465
1317,-0.023532357524303438,0,3.6421854496002197,0.6185232400894165,0.5,0.8374999761581421,0.43474504351615906,1.0,0.43478259444236755,13.557507514953613,23.589881896972656,heating,13.557507514953613,23.589881896972656,0.10681972864196747,10.918496615112574,0.0,0.0,0.0,0.023532357524303438,0.008367177048027153,0.0,0.006018906011268688,0.009146274465007594,11.0,0.0,-0.023532357524303438
1318,-0.0211671696755569,0,3.6708521842956543,0.684241771697998,0.5,0.8374999761581421,0.5499491095542908,1.0,0.47826087474823,12.326299667358398,23.271223068237305,cooling,12.326299667358398,23.271223068237305,0.10198522194910802,8.878927107933805,0.0,0.0,0.0,0.0211671696755569,0.010966377832325666,0.0,0.0,0.010200791843231234,11.0,0.0,-0.0211671696755569
1319,-0.039010264745348806,0,3.700944185256958,0.6284018754959106,0.5,0.8374999761581421,0.5717264413833618,1.0,0.47826087474823,10.141214370727539,23.939098358154297,heating,10.141214370727539,23.939098358154297,0.080939,0.0,0.05634947881621718,5.634947881621718,16.904843644865153,0.039010264745348806,0.009550971635115556,0.0,0.02115935805270192,0.008299935057531328,12.0,0.0,-0.039010264745348806
1320,-0.022583353894721252,0,3.734231948852539,0.6763826012611389,0.5,0.8374999761581421,0.6177446246147156,1.0,0.52173912525177,11.704912185668945,22.921567916870117,cooling,11.704912185668945,22.921567916870117,0.10199047585054677,8.881143610640077,0.0,0.0,0.0,0.022583353894721252,0.011946295203805284,0.0,0.0,0.010637058690915966,12.0,0.0,-0.022583353894721252
1321,-0.018681235691222462,0,3.7681424617767334,0.5953000783920288,0.5,0.8374999761581421,0.6287945508956909,1.0,0.52173912525177,10.578646659851074,22.698522567749023,cooling,10.578646659851074,22.698522567749023,0.09301072538419491,5.092789100696699,0.0,0.0,0.0,0.018681235691222462,0.009808306506111258,0.0,0.0,0.0088729291851112,13.0,0.0,-0.018681235691222462
1322,-0.0193383125399706,0,3.801417827606201,0.5958121418952942,0.5,0.8374999761581421,0.6219747066497803,1.0,0.5652173757553101,11.80098819732666,22.787349700927734,heating,11.80098819732666,22.787349700927734,0.10448273758405256,9.932572713649634,0.0,0.0,0.0,0.0193383125399706,0.009618158617451337,0.0,0.00038696478315299504,0.00933318913936627,13.0,0.0,-0.0193383125399706
1323,-0.031801236574837154,0,3.834000587463379,0.6103870272636414,0.5,0.8374999761581421,0.6136041879653931,1.0,0.5652173757553101,10.518566131591797,23.611684799194336,heating,10.518566131591797,23.611684799194336,0.080939,0.0,0.010826973133585938,1.0826973133585938,3.2480919400757813,0.031801236574837154,0.009093749073678603,0.0,0.01440755244362722,0.008299935057531328,14.0,0.0,-0.031801236574837154
1324,-0.022027376810985155,0,3.862443208694458,0.6618084907531738,0.5,0.8374999761581421,0.5566328763961792,1.0,0.6086956262588501,10.142203330993652,23.000690460205078,cooling,10.142203330993652,23.000690460205078,0.08249082984735957,0.6546820674959974,0.06868191175278564,6.868191175278564,20.60457352583569,0.022027376810985155,0.010967118257915354,0.0,0.0019078308820218229,0.009152427671047975,14.0,0.0,-0.022027376810985155
1325,-0.027642001610009292,0,3.888538122177124,0.6065482497215271,0.5,0.8374999761581421,0.5257011651992798,1.0,0.6086956262588501,13.121210098266602,23.71173667907715,heating,13.121210098266602,23.71173667907715,0.09705691551416118,6.79978560181144,0.0,0.0,0.0,0.027642001610009292,0.007982655669436923,0.0,0.010964962344884857,0.008694383595687513,15.0,0.0,-0.027642001610009292
1326,-0.17342058637754632,0,3.90741229057312,0.6902268528938293,0.5,0.8374999761581421,0.42480912804603577,1.0,0.6521739363670349,12.935408592224121,24.382251739501953,heating,12.935408592224121,24.382251739501953,0.0886972542169337,3.2730327487539306,0.0,0.0,0.0,0.02219880107001572,0.008279949751640966,0.0,0.00543714152340615,0.008481709794968604,15.0,0.5040726176917687,-0.17342058637754632
1327,-0.02534986265887055,0,3.9231059551239014,0.7310824990272522,0.5,0.8374999761581421,0.38022303581237793,1.0,0.6521739363670349,11.191572189331055,23.380157470703125,cooling,11.191572189331055,23.380157470703125,0.080939,0.0,0.14499593512112577,14.499593512112577,43.49878053633773,0.02534986265887055,0.011468547712857475,0.0,0.004027664864475716,0.009853650081537355,16.0,0.0,-0.02534986265887055
1328,-0.019983172220593627,0,3.928640365600586,0.6237140893936157,0.5,0.8374999761581421,0.24018846452236176,1.0,0.695652186870575,14.022377014160156,23.262252807617188,heating,14.022377014160156,23.262252807617188,0.10868385442528283,11.704929305507086,0.0,0.0,0.0,0.019983172220593627,0.009146047412490057,0.0,0.00142564693165475,0.009411477876448821,16.0,0.0,-0.019983172220593627
1329,-0.03384307328280388,0,3.9306321144104004,0.654390275478363,0.5,0.824999988079071,0.19109487533569336,1.0,0.695652186870575,11.915533065795898,24.05010986328125,heating,11.915533065795898,24.05010986328125,0.080939,0.0,0.0528689291896273,5.28689291896273,15.860678756888191,0.03384307328280388,0.009248682499962758,0.0,0.016294455725309787,0.008299935057531328,17.0,0.0,-0.03384307328280388
1330,-0.02569165420430616,0,3.9273695945739746,0.6850194334983826,0.5,0.824999988079071,0.1172012910246849,1.0,0.739130437374115,14.771410942077637,22.980846405029297,cooling,14.771410942077637,22.980846405029297,0.1275724511641922,19.67360292405364,0.0,0.0,0.0,0.02569165420430616,0.013299842706797599,0.0,0.0,0.012391811497508558,17.0,0.0,-0.02569165420430616
1331,-0.0488266921934388,0,3.9230902194976807,0.6114852428436279,0.5,0.8125,0.10382871329784393,1.0,0.739130437374115,15.208821296691895,23.803186416625977,heating,15.208821296691895,23.803186416625977,0.080939,0.0,0.15705627694538293,15.705627694538293,47.11688308361488,0.0488266921934388,0.006910488986412745,0.0,0.03361626814949473,0.008299935057531328,18.0,0.0,-0.0488266921934388
1332,-0.021018806049865682,0,3.9149482250213623,0.6419633030891418,0.5,0.8125,0.049799997359514236,0.0,0.782608687877655,15.473533630371094,23.008682250976562,cooling,15.473533630371094,23.008682250976562,0.080939,0.0,0.06209539805548303,6.209539805548303,18.62861941664491,0.021018806049865682,0.007668276971176006,0.0,0.004724019803596689,0.008626509275092988,18.0,0.0,-0.021018806049865682
1333,-0.043223637377277024,0,3.9063942432403564,0.6012391448020935,0.5,0.800000011920929,0.04453966021537781,0.0,0.782608687877655,15.430706024169922,23.5129337310791,heating,15.430706024169922,23.5129337310791,0.080939,0.0,0.12581854890959696,12.581854890959695,37.745564672879084,0.043223637377277024,0.007751233891586399,0.0,0.0271724684281593,0.008299935057531328,19.0,0.0,-0.043223637377277024
1334,-0.01935355081585647,0,3.896367073059082,0.6266636848449707,0.5,0.7875000238418579,0.023850001394748688,0.0,0.8260869383811951,15.486830711364746,22.46376609802246,cooling,15.486830711364746,22.46376609802246,0.08465923986146309,1.5694854227915513,0.0,0.0,0.0,0.01935355081585647,0.009831434007867375,0.0,0.0,0.009522116807989093,19.0,0.0,-0.01935355081585647
1335,-0.044252149036452616,0,3.885467767715454,0.5492349863052368,0.5,0.7749999761581421,0.012449999339878559,0.0,0.8260869383811951,15.497462272644043,23.053003311157227,heating,15.497462272644043,23.053003311157227,0.080939,0.0,0.09702525970703728,9.702525970703729,29.107577912111182,0.044252149036452616,0.00768572461995627,0.0,0.02826648935896502,0.008299935057531328,20.0,0.0,-0.044252149036452616
1336,-0.03969438537796353,0,3.875321865081787,0.5987682938575745,0.5,0.7749999761581421,0.022326266393065453,0.0,0.8695651888847351,15.495773315429688,23.329750061035156,heating,15.495773315429688,23.329750061035156,0.080939,0.0,0.11298314948544667,11.298314948544668,33.894944845634,0.03969438537796353,0.008557125835685481,0.0,0.02283732448474672,0.008299935057531328,20.0,0.0,-0.03969438537796353
1337,-0.031846283862649,0,3.8636157512664795,0.615217387676239,0.5,0.762499988079071,0.0,0.0,0.8695651888847351,15.48806095123291,23.222822189331055,heating,15.48806095123291,23.222822189331055,0.080939,0.0,0.09775479674646803,9.775479674646803,29.32643902394041,0.031846283862649,0.008605899601150008,0.0,0.014940449203967664,0.008299935057531328,21.0,0.0,-0.031846283862649
1338,-0.03933590992423305,0,3.8519515991210938,0.6097429990768433,0.5,0.762499988079071,0.0,0.0,0.9130434989929199,15.494462013244629,23.413360595703125,heating,15.494462013244629,23.413360595703125,0.080939,0.0,0.1193077498607084,11.93077498607084,35.79232495821252,0.03933590992423305,0.00866456943875363,0.0,0.022371405427948094,0.008299935057531328,21.0,0.0,-0.03933590992423305
1339,-0.04732784687754235,0,3.8403353691101074,0.6199731230735779,0.5,0.762499988079071,0.0,0.0,0.9130434989929199,15.481721878051758,23.761781692504883,heating,15.481721878051758,23.761781692504883,0.080939,0.0,0.15202191906696902,15.202191906696902,45.6065757200907,0.04732784687754235,0.008919137954213065,0.0,0.030108773865797953,0.008299935057531328,22.0,0.0,-0.04732784687754235
1340,-0.023995986866191032,0,3.828781843185425,0.639551043510437,0.5,0.762499988079071,0.0,0.0,0.95652174949646,15.49979019165039,22.904598236083984,cooling,15.49979019165039,22.904598236083984,0.080939,0.0,0.07227193738935256,7.227193738935256,21.681581216805768,0.023995986866191032,0.009803028545162134,0.0,0.005474479724053431,0.008718478596975464,22.0,0.0,-0.023995986866191032
1341,-0.04833347376007468,0,3.8171918392181396,0.5908715128898621,0.5,0.75,0.0,0.0,0.95652174949646,15.492979049682617,23.50636863708496,heating,15.492979049682617,23.50636863708496,0.080939,0.0,0.13849516165318101,13.849516165318102,41.54854849595431,0.04833347376007468,0.008994252301755913,0.0,0.031039286400787444,0.008299935057531328,23.0,0.0,-0.04833347376007468
1342,-0.022414371067028892,0,3.8056561946868896,0.6234793066978455,0.5,0.75,0.0,0.0,1.0,15.489911079406738,22.48488426208496,cooling,15.489911079406738,22.48488426208496,0.08128087201433931,0.1442281043553244,0.0982094070335684,9.82094070335684,29.46282211007052,0.022414371067028892,0.010410208177778208,0.0,0.0027280390842657886,0.00927612380498489,23.0,0.0,-0.022414371067028892
1343,-0.0588917316229432,0,3.794110059738159,0.5574457049369812,0.5,0.75,0.0,0.0,1.0,15.49496078491211,23.531959533691406,heating,15.49496078491211,23.531959533691406,0.080939,0.0,0.15512188582443187,15.512188582443187,46.53656574732956,0.0588917316229432,0.008789183940178202,0.0,0.041802612625233666,0.008299935057531328,0.0,0.0,-0.0588917316229432
1344,-0.02556944527581103,0,3.7826406955718994,0.6227498054504395,0.5,0.75,0.0,0.0,0.0,15.167648315429688,22.822269439697266,cooling,15.167648315429688,22.822269439697266,0.080939,0.0,0.08490166589616759,8.49016658961676,25.470499768850274,0.02556944527581103,0.009872685902631151,0.0,0.007207742686523592,0.008489016686656282,0.0,0.0,-0.02556944527581103
